Property Type Cleaned,Area Cleaned,ClubHouse Cleaned,School Cleaned,Hospital Cleaned,Mall Cleaned,Park Cleaned,Pool Cleaned,Gym Cleaned,Price by sub-area,Amenities score,Price by Amenities score,Noun_Counts,Verb_Counts,Adjective_Counts,bedroom apartment,boasts elegant,elegant towers,great community,mantra gold,offering bedroom,project boasts,project offers,stories offering,towers stories
2.0,734.0,0,0,0,0,1,1,1,75.6375,3,69.04065217391305,12,3,2,0,0,0,0,0,0,0,0,0,0
2.0,753.0,0,0,0,0,1,1,1,75.6375,3,69.04065217391305,12,4,3,0,0,0,0,0,0,0,0,0,0
2.0,675.0,0,0,0,0,1,0,0,75.6375,1,62.83238095238095,14,5,3,1,1,1,1,0,1,1,0,1,1
3.0,917.0,0,0,0,0,1,0,0,75.6375,1,62.83238095238095,13,5,3,1,1,1,1,0,1,1,0,1,1
2.0,670.0,1,0,0,0,1,1,0,69.665,3,69.04065217391305,15,5,6,0,0,0,0,0,0,0,0,0,0
2.0,740.0,1,0,0,0,1,1,0,69.665,3,69.04065217391305,12,11,7,0,0,0,0,0,0,0,0,0,0
2.5,847.0,1,0,0,0,1,1,0,69.665,3,69.04065217391305,14,2,8,0,0,0,0,0,0,0,0,0,0
2.5,936.0,1,0,0,0,1,1,0,69.665,3,69.04065217391305,15,9,5,0,0,0,0,0,0,0,0,0,0
3.0,990.0,1,0,0,0,1,1,0,69.665,3,69.04065217391305,16,9,9,0,0,0,0,0,0,0,0,0,0
3.0,1032.0,1,0,0,0,1,1,0,69.665,3,69.04065217391305,9,5,3,0,0,0,0,0,0,0,0,0,0
3.0,1662.9,1,0,0,0,1,1,1,190.29999999999987,4,98.58288659793813,19,7,4,1,1,1,1,0,1,1,0,1,1
4.0,1662.9,1,0,0,0,1,1,1,190.29999999999987,4,98.58288659793813,17,7,4,1,1,1,1,0,1,1,0,1,1
2.0,670.0,1,0,0,0,1,1,1,95.99833333333329,4,98.58288659793813,8,2,5,0,0,0,0,0,0,0,0,0,0
2.0,725.0,1,0,0,0,1,1,1,95.99833333333329,4,98.58288659793813,9,6,4,0,0,0,0,0,0,0,1,0,0
2.0,731.0,1,0,0,0,1,1,1,95.99833333333329,4,98.58288659793813,6,5,2,0,0,0,0,0,0,0,1,0,0
2.0,744.0,1,0,0,0,1,1,1,95.99833333333329,4,98.58288659793813,11,4,2,0,0,0,0,0,0,0,1,0,0
3.0,923.0,1,0,0,0,1,1,1,95.99833333333329,4,98.58288659793813,11,3,7,0,0,0,0,0,0,0,1,0,0
3.0,930.0,1,0,0,0,1,1,1,95.99833333333329,4,98.58288659793813,12,4,5,0,0,0,0,0,0,0,1,0,0
1.0,446.0,1,0,0,0,1,1,1,64.9,4,98.58288659793813,9,5,3,0,0,0,0,0,0,0,0,0,0
2.0,670.0,1,0,0,0,1,1,1,64.9,4,98.58288659793813,12,5,6,0,0,0,0,0,0,0,0,0,0
2.5,792.0,1,0,0,0,1,1,1,64.9,4,98.58288659793813,10,3,3,1,1,1,0,0,1,1,0,1,1
2.0,1180.0,1,0,0,0,1,1,1,73.55555555555556,4,98.58288659793813,6,3,2,0,0,0,0,0,0,0,0,0,0
2.0,860.0,1,0,0,0,1,1,1,73.55555555555556,4,98.58288659793813,6,5,1,0,0,0,0,0,0,0,0,0,0
3.0,988.0,1,0,0,0,1,1,1,73.55555555555556,4,98.58288659793813,11,5,3,0,0,0,0,0,0,0,0,0,0
3.0,1093.0,1,0,0,0,1,1,1,73.55555555555556,4,98.58288659793813,10,6,2,0,0,0,0,0,0,0,0,0,0
1.0,456.0,1,0,0,0,1,0,1,46.408181818181816,3,69.04065217391305,16,6,6,0,0,0,0,0,0,0,0,0,0
2.0,644.0,1,0,0,0,1,0,1,46.408181818181816,3,69.04065217391305,18,6,6,0,0,0,0,0,0,0,0,0,0
2.5,785.0,1,0,0,0,1,0,1,46.408181818181816,3,69.04065217391305,10,5,5,0,0,0,0,0,0,0,0,0,0
3.0,1060.0,0,0,0,0,1,1,1,139.5,3,69.04065217391305,13,5,6,0,0,0,0,0,0,0,0,0,0
3.5,421.5,0,0,0,0,1,1,1,139.5,3,69.04065217391305,6,0,6,0,0,0,0,0,0,0,0,0,0
2.0,664.0,0,0,0,0,1,0,1,47.804,2,81.48103448275862,13,5,4,0,0,0,0,0,0,0,0,0,0
2.0,670.0,0,0,0,0,1,0,1,47.804,2,81.48103448275862,18,7,3,0,0,0,0,0,0,0,0,0,0
2.0,673.0,0,0,0,0,1,0,1,47.804,2,81.48103448275862,11,5,4,0,0,0,0,0,0,0,0,0,0
2.0,682.0,0,0,0,0,1,0,1,47.804,2,81.48103448275862,11,4,3,0,0,0,0,0,0,0,0,0,0
2.0,698.0,0,0,0,0,1,0,1,47.804,2,81.48103448275862,13,4,3,0,0,0,0,0,0,0,0,0,0
3.0,1239.0,1,0,0,0,1,1,1,145.57499999999996,4,98.58288659793813,19,2,7,0,0,0,0,0,0,0,0,0,0
3.0,1315.0,1,0,0,0,1,1,1,145.57499999999996,4,98.58288659793813,10,2,3,0,0,0,0,0,0,0,0,0,0
3.0,1388.0,1,0,0,0,1,1,1,145.57499999999996,4,98.58288659793813,6,5,4,0,0,0,0,0,0,0,0,0,0
3.0,1463.0,1,0,0,0,1,1,1,145.57499999999996,4,98.58288659793813,14,4,6,0,0,0,0,0,0,0,0,0,0
